StationId,Year-Month,month,year,PM2.5,PM10,NOx,CO,SO2,O3
DL028,2017-10,10,2017,220.73874999999998,220.73874999999998,200.90124999999998,3.0725000000000002,38.84,421.94874999999996
DL031,2017-10,10,2017,197.5257142857143,394.8085714285714,86.47571428571429,1.5257142857142856,41.95,47.32285714285714
DL002,2017-10,10,2017,261.2922222222222,532.4388888888889,235.53333333333336,3.4466666666666663,28.22222222222222,48.32777777777777
DL019,2017-10,10,2017,161.49428571428572,279.65714285714284,71.55,1.8942857142857144,17.12,32.54285714285714
DL002,2017-11,11,2017,272.4836363636364,406.9099999999999,242.7468181818181,3.0845454545454545,20.96909090909091,48.07181818181818
DL019,2017-11,11,2017,269.55482758620695,357.46068965517236,135.04310344827587,2.612758620689655,15.507586206896555,24.35413793103448
DL028,2017-11,11,2017,308.408275862069,308.408275862069,193.19482758620688,2.8886206896551725,18.66724137931035,446.2027586206897
DL031,2017-11,11,2017,272.92833333333334,451.66233333333327,185.63733333333332,3.193000000000001,35.25033333333332,59.567
DL028,2017-12,12,2017,239.3176923076923,239.3176923076923,12.602692307692308,2.3219230769230768,22.19,378.95269230769225
DL031,2017-12,12,2017,224.0662068965517,377.46310344827583,50.335517241379314,2.6944827586206896,38.33137931034482,60.35344827586207
DL002,2017-12,12,2017,297.77433333333335,517.3206666666666,54.53033333333333,3.0340000000000003,23.883333333333336,30.571666666666665
DL019,2017-12,12,2017,199.5173333333333,307.0736666666667,45.721666666666664,2.8670000000000004,23.138999999999996,22.224000000000004
DL002,2018-1,1,2018,281.57148148148144,475.95814814814827,77.99925925925926,2.7411111111111115,23.323333333333334,23.59
DL031,2018-1,1,2018,207.65064516129033,362.0329032258064,67.37322580645161,2.2648387096774196,29.730322580645172,65.29129032258065
DL028,2018-1,1,2018,241.76724137931035,241.76724137931035,76.34793103448277,1.9486206896551723,20.195862068965518,388.83689655172424
DL019,2018-1,1,2018,216.6848148148148,334.2907407407408,39.547037037037036,3.927777777777778,15.251481481481482,32.196666666666665
DL028,2018-2,2,2018,145.44714285714286,145.44714285714286,150.93892857142856,2.1939285714285717,22.256071428571424,283.8960714285714
DL031,2018-2,2,2018,148.76464285714286,280.9775,121.97821428571432,1.8475000000000006,23.63571428571429,55.43535714285714
DL002,2018-2,2,2018,161.22892857142855,370.7807142857142,116.20714285714287,2.779642857142858,16.99428571428572,20.718571428571433
DL019,2018-2,2,2018,131.4173076923077,234.51461538461538,80.2876923076923,1.8296153846153849,14.81346153846154,24.38961538461539
DL028,2018-3,3,2018,97.80483870967741,97.80483870967741,87.11354838709678,1.1332258064516132,27.071935483870966,217.97032258064516
DL031,2018-3,3,2018,103.08193548387098,223.18645161290323,121.1612903225806,1.2848387096774192,31.88354838709677,43.68709677419356
DL019,2018-3,3,2018,85.1183870967742,194.2658064516129,73.07387096774195,1.169032258064516,18.80096774193548,27.758709677419358
DL002,2018-3,3,2018,118.58807692307693,332.74961538461537,109.95653846153844,1.7257692307692312,21.255384615384614,30.84692307692308
DL019,2018-4,4,2018,84.10466666666667,237.80600000000004,81.25266666666668,1.029666666666667,19.983333333333338,28.165000000000006
DL031,2018-4,4,2018,104.09607142857143,261.3432142857143,98.40607142857141,1.3660714285714286,24.291071428571428,34.818571428571424
DL028,2018-4,4,2018,86.26333333333334,86.26333333333334,94.85266666666665,1.05,30.91166666666667,239.1983333333333
DL002,2018-4,4,2018,114.50333333333333,328.13433333333336,75.04700000000003,1.7206666666666663,11.563666666666668,43.65700000000001
DL031,2018-5,5,2018,102.29709677419356,220.4403225806452,115.59451612903226,1.6425806451612905,23.879032258064516,34.31677419354838
DL019,2018-5,5,2018,88.11548387096772,204.38935483870966,66.03000000000002,1.0161290322580645,13.926129032258062,32.253548387096764
DL002,2018-5,5,2018,107.24709677419357,313.23419354838717,72.57129032258065,2.008709677419355,9.335483870967739,37.85064516129032
DL028,2018-5,5,2018,95.91966666666667,95.91966666666667,106.508,1.121,34.585666666666675,227.53533333333334
DL031,2018-6,6,2018,77.41931034482757,244.9362068965517,59.575172413793126,0.7420689655172414,19.841379310344827,44.83655172413792
DL019,2018-6,6,2018,70.03600000000002,204.3906666666667,38.382666666666665,0.8336666666666666,10.79666666666667,24.267
DL002,2018-6,6,2018,114.97040000000001,332.3068,39.102799999999995,1.7267999999999994,8.5648,23.8208
DL028,2018-6,6,2018,70.68517241379311,70.68517241379311,50.123448275862074,0.7127586206896551,17.688965517241385,246.29310344827584
DL019,2018-7,7,2018,42.03392857142858,100.60964285714286,27.098571428571432,0.6325000000000001,11.359285714285717,13.100357142857144
DL031,2018-7,7,2018,45.31966666666666,103.71800000000005,34.23533333333334,0.8746666666666666,15.881666666666668,66.39399999999999
DL028,2018-7,7,2018,77.82032258064517,77.82032258064517,29.065806451612904,0.7664516129032257,11.73032258064516,106.87451612903227
DL031,2018-8,8,2018,47.52966666666667,121.46866666666668,23.619666666666667,0.9893333333333331,15.821666666666662,68.56866666666666
DL019,2018-8,8,2018,36.32678571428571,107.26571428571431,23.83928571428572,0.6278571428571428,11.635000000000002,16.773928571428577
DL028,2018-8,8,2018,53.22999999999999,53.22999999999999,24.696129032258064,0.7706451612903227,17.065483870967743,118.2451612903226
DL002,2018-8,8,2018,48.23263157894737,147.68947368421053,16.587368421052634,1.6478947368421053,11.085789473684208,33.144210526315796
DL028,2018-9,9,2018,99.23066666666665,99.23066666666665,31.938333333333336,0.8340000000000002,14.421000000000001,113.77
